"region","name","name.short","method","sex","age","adult","tstart","tend","days","median.long","median.lat","uere.calibtration","color","speed.est","speed.high","speed.low","tau.position.est","tau.position.high","tau.position.low","tau.velocity.est","tau.velocity.high","tau.velocity.low","area.low","area.est","area.high","x.df","y.df","cell.area","total.cells","forest","floodplain","pasture","crop","dirt","savannah","water","urban","plantation"
"Pantanal","PA_21_CAIO","CAIO","VHF","MALE","SUB-ADULT","No",2011-09-03,2013-12-14 07:40:00,833.319444444444,-55.761450085,-19.31706144,TRUE,"#4477AA",NA,NA,NA,3.8426004898634,7.96288849702007,1.85429929481294,NA,NA,NA,4.73579786983218,6.9054481781123,9.47780765067087,32.4097155381385,32.4097155381385,100,68695,0.55347550767887,0.44652449232113,0,0,0,0,0,0,0
"Pantanal","PA_22_EMILIO","EMILIO","VHF","MALE","ADULT","Yes",2011-09-09,2012-05-22 19:00:00,256.791666666667,-55.83033076,-19.29620214,TRUE,"#4477AA",1.50977813719308,2.29181450521575,0.733875202054069,NA,NA,NA,NA,NA,NA,1.29143734402002,2.35531852441033,3.733572190853,14.1182527726469,14.1182527726469,100,23449,0.72651285769116,0.27348714230884,0,0,0,0,0,0,0
"Pantanal","PA_23_RICK","RICK","VHF","MALE","ADULT","Yes",2011-09-11,2014-10-21 15:47:00,1136.65763888889,-55.80113611,-19.27560682,TRUE,"#4477AA",25.9619513942626,38.5305230620577,13.4607909665024,0.105599119217109,0.168966794391797,0.0659962451176772,0.337835212608789,0.724608699115251,0,5.63670650422746,6.55447447402358,7.54044778328316,181.969096856961,181.969096856961,100,65185,0.511559407839227,0.468650763212396,0.0128096954820894,0,0,0,0,0,0
"Pantanal","PA_24_LESLIE","LESLIE","VHF","FEMALE","ADULT","Yes",2011-09-15,2014-07-10 16:48:00,1029.7,-55.80354644,-19.26060042,TRUE,"#4477AA",NA,NA,NA,1.04189397818071,1.91368118893207,0.567253870732262,NA,NA,NA,2.79412055653737,3.52498294305199,4.33947344145105,79.7740192089197,79.7740192089197,100,35056,0.33426517571885,0.656435417617526,0,0,0,0,0,0,0
"Pantanal","PA_26_SACHIN","SACHIN","VHF","MALE","ADULT","Yes",2011-11-14,2014-01-28 05:10:00,806.215277777778,-55.77081647,-19.30890162,TRUE,"#4477AA",11.9279060487661,14.9717264737396,8.87827531970153,NA,NA,NA,NA,NA,NA,4.32209167533453,5.26200991986927,6.29302319025028,109.350436664336,109.350436664336,100,52362,0.564817997784653,0.354245445170162,0.0809365570451854,0,0,0,0,0,0
"Pantanal","PA_28_DUDA","DUDA","GPS+VHF","FEMALE","ADULT","Yes",2012-11-15,2014-08-20 14:00:00,643.583333333333,-55.772009925,-19.3115757,TRUE,"#4477AA",10.1888098899976,10.3156461124987,10.0619519650855,0.285388770964464,0.302253755582235,0.269464809248492,0.487559366608997,0.511411716895512,0.46481949496815,4.00042028771036,4.188173680386,4.38017222571309,1868.80835370988,1868.80835370988,100,42441,0.599750241511746,0.320916095285219,0.0793336632030348,0,0,0,0,0,0
"Pantanal","PA_29_KARIN","KARIN","VHF","FEMALE","SUB-ADULT","No",2012-07-23,2014-07-02 18:24:00,709.766666666667,-55.81495073,-19.30567644,TRUE,"#4477AA",NA,NA,NA,0.274928084459604,2.05353275989596,0.0368075217015073,NA,NA,NA,0.647575314878747,1.04216629847453,1.52912167112012,21.3004731584151,21.3004731584151,100,10364,0.978965650328059,0.0210343496719413,0,0,0,0,0,0,0
"Pantanal","PA_30_NELSAO","NELSAO","VHF","MALE","ADULT","Yes",2012-05-20,2017-12-11 07:25:00,2031.30902777778,-55.75445977,-19.29992819,TRUE,"#4477AA",7.5880541643163,10.1720984439581,5.00205578141352,NA,NA,NA,NA,NA,NA,2.53439916595382,3.13119730309324,3.79014785262249,95.3616492067145,95.3616492067145,100,31141,0.518769467904049,0.481230532095951,0,0,0,0,0,0,0
"Pantanal","PA_31_JORDANO","JORDANO","VHF","MALE","ADULT","Yes",2012-09-20,2017-10-30 17:35:00,1866.73263888889,-55.814163055,-19.28183076,TRUE,"#4477AA",19.4212475809394,30.6015110881657,8.38875844927344,0.337465159567304,0.735473098491888,0.154842827229583,0.334142391723113,0.784541250466028,0,6.87782640741255,8.47482620851194,10.2360515467265,97.6830619455279,97.6830619455279,100,84316,0.533327007922577,0.466672992077423,0,0,0,0,0,0,0
"Pantanal","PA_33_GABRIELA","GABRIELA","GPS+VHF","FEMALE","SUB-ADULT","No",2014-07-06,2014-08-15 18:00:00,40.75,-55.80846866,-19.29842914,TRUE,"#4477AA",9.71029710738327,10.3388311142555,9.08121879982036,0.559075779118707,0.766276746464226,0.407901881714979,0.380675206884484,0.48124585397602,0.301121790326667,5.05214447396714,6.54485218854719,8.22782196195616,65.0901269347301,65.0901269347301,100,65108,0.705059286109234,0.294940713890766,0,0,0,0,0,0,0
