timestamp,location-long,location-lat,individual-local-identifier
2002-12-04 05:28:00,-52.17407216,-22.62442225,AF_14_JAMESBOND
2002-12-04 07:02:00,-52.17179578,-22.62446599,AF_14_JAMESBOND
2002-12-04 18:28:00,-52.16761353,-22.62349387,AF_14_JAMESBOND
2002-12-04 19:08:00,-52.16849319,-22.62396619,AF_14_JAMESBOND
2002-12-04 20:01:00,-52.16855258,-22.62063275,AF_14_JAMESBOND
2002-12-04 20:32:00,-52.1673654,-22.61945813,AF_14_JAMESBOND
2002-12-04 21:03:00,-52.17214859,-22.61787869,AF_14_JAMESBOND
2002-12-04 21:33:00,-52.17173339,-22.61825206,AF_14_JAMESBOND
2002-12-05 22:02:00,-52.16729779,-22.62066898,AF_14_JAMESBOND
2002-12-06 01:02:00,-52.16792872,-22.62049277,AF_14_JAMESBOND
2002-12-06 02:00:00,-52.16906844,-22.62065609,AF_14_JAMESBOND
2002-12-06 04:02:00,-52.17412183,-22.61995981,AF_14_JAMESBOND
2003-01-08 05:02:00,-52.17977111,-22.61840994,AF_14_JAMESBOND
2003-01-08 05:31:00,-52.17637863,-22.62105428,AF_14_JAMESBOND
2003-01-08 07:00:00,-52.17628718,-22.62174142,AF_14_JAMESBOND
2003-01-08 18:36:00,-52.17536202,-22.62163981,AF_14_JAMESBOND
2003-01-08 19:34:00,-52.17745153,-22.62250968,AF_14_JAMESBOND
2003-01-08 20:08:00,-52.17519154,-22.62447728,AF_14_JAMESBOND
2003-01-27 22:04:00,-52.17392556,-22.62663629,AF_14_JAMESBOND
2003-01-27 22:33:00,-52.17140325,-22.62407142,AF_14_JAMESBOND
2003-01-27 23:13:00,-52.17017198,-22.62229197,AF_14_JAMESBOND
2003-01-28 00:00:00,-52.16758653,-22.62029655,AF_14_JAMESBOND
2003-01-28 01:00:00,-52.16729634,-22.62049737,AF_14_JAMESBOND
2003-01-28 02:00:00,-52.16537588,-22.62005068,AF_14_JAMESBOND
2003-01-28 02:34:00,-52.16579623,-22.6225948,AF_14_JAMESBOND
2003-01-28 03:04:00,-52.16630069,-22.62241952,AF_14_JAMESBOND
2003-01-28 04:30:00,-52.16804886,-22.6220455,AF_14_JAMESBOND
2003-02-04 04:24:00,-52.17400888,-22.62384463,AF_14_JAMESBOND
2003-02-04 05:08:00,-52.17363855,-22.62262794,AF_14_JAMESBOND
2003-02-04 18:34:00,-52.17550088,-22.6208078,AF_14_JAMESBOND
2003-02-04 19:01:00,-52.17664119,-22.62218142,AF_14_JAMESBOND
2003-02-04 19:29:00,-52.1741555,-22.62392485,AF_14_JAMESBOND
2003-02-04 20:10:00,-52.16976609,-22.62376723,AF_14_JAMESBOND
2003-02-04 20:44:00,-52.167123,-22.62186255,AF_14_JAMESBOND
2003-02-04 21:00:00,-52.16793707,-22.62033013,AF_14_JAMESBOND
2003-02-04 21:30:00,-52.16842141,-22.61892655,AF_14_JAMESBOND
2003-02-05 22:33:00,-52.16888475,-22.62309621,AF_14_JAMESBOND
2003-02-05 23:02:00,-52.16773849,-22.62100901,AF_14_JAMESBOND
2003-02-05 23:31:00,-52.16812142,-22.62142172,AF_14_JAMESBOND
2003-02-06 00:01:00,-52.16340146,-22.6212844,AF_14_JAMESBOND
2003-02-06 01:46:00,-52.16385492,-22.62082948,AF_14_JAMESBOND
2003-03-11 22:35:00,-52.17165098,-22.60967174,AF_14_JAMESBOND
2003-03-11 23:00:00,-52.17243773,-22.60952148,AF_14_JAMESBOND
2003-03-12 00:10:00,-52.167832,-22.61940957,AF_14_JAMESBOND
2003-03-12 00:32:00,-52.16843332,-22.62033554,AF_14_JAMESBOND
2003-03-12 01:32:00,-52.16814679,-22.62096991,AF_14_JAMESBOND
2003-03-12 02:32:00,-52.16900564,-22.62013266,AF_14_JAMESBOND
