"","timestamp","GPS.Fix.Attempt","GPS.Latitude","GPS.Longitude","GPS.Altitude","GPS.Speed","GPS.Heading","GPS.Horizontal.Error","GPS.Horizontal.Dilution","GPS.Satellite.Count","GPS.Navigation.Time","individual.local.identifier"
"100","2017-06-14 22:00:00","Succeeded (3D)",-21.59409,-53.739862,301,0.13,161,37.27,1.6,4,85,"2"
"101","2017-06-14 23:00:00","Succeeded (3D)",-21.594033,-53.739877,302,0.18,59.8,40.84,1.8,5,61,"2"
"102","2017-06-15 00:00:00","Succeeded (3D)",-21.594027,-53.739899,314,0.04,201.8,9.92,1.2,6,44,"2"
"103","2017-06-15 01:00:00","Succeeded (3D)",-21.594078,-53.739936,307,0.16,152.6,18.3,1.4,6,46,"2"
"104","2017-06-15 02:00:00","Succeeded (3D)",-21.593928,-53.739835,287,0.12,17.6,41.45,1.8,5,96,"2"
"105","2017-06-15 03:00:00","Succeeded (3D)",-21.594031,-53.739843,325,0,332.6,17.42,2,5,48,"2"
"106","2017-06-15 04:00:00","Succeeded (3D)",-21.594058,-53.739895,301,0.11,113.2,25.06,2.4,4,47,"2"
"107","2017-06-15 05:00:00","Succeeded (3D)",-21.593834,-53.739849,301,0.96,204.6,49.05,1.6,4,46,"2"
"108","2017-06-15 06:00:00","Succeeded (3D)",-21.594059,-53.739872,308,0.04,51.3,9.74,1.2,6,47,"2"
"109","2017-06-15 07:00:00","Succeeded (3D)",-21.594035,-53.739894,314,0,121.6,15.53,1.2,6,46,"2"
"110","2017-06-15 08:00:00","Succeeded (3D)",-21.594098,-53.73989,306,0.05,13.4,18.55,1,7,46,"2"
"111","2017-06-15 09:00:00","Succeeded (3D)",-21.594044,-53.739888,324,0.02,325.5,11.06,1,7,47,"2"
"112","2017-06-15 10:00:00","Succeeded (3D)",-21.594118,-53.739926,304,0,273.5,20.39,1.6,6,48,"2"
"113","2017-06-15 11:00:00","Succeeded (3D)",-21.59397,-53.739827,317,0.35,204.6,70.44,3.4,4,46,"2"
"114","2017-06-15 12:00:00","Succeeded (3D)",-21.594079,-53.739903,307,0,224.3,12.69,1.6,6,46,"2"
"115","2017-06-15 13:00:00","Succeeded (3D)",-21.59409,-53.739908,316,0,64,15.37,1.2,6,46,"2"
"116","2017-06-15 14:00:00","Succeeded (3D)",-21.594051,-53.739827,323,0.08,266.5,20.08,1.4,5,46,"2"
"117","2017-06-15 15:00:00","Succeeded (3D)",-21.594046,-53.739761,288,0.36,258,57.3,2.6,5,46,"2"
"118","2017-06-15 16:00:00","Succeeded (3D)",-21.59398,-53.739906,310,0.46,346.6,76.74,5,4,127,"2"
"119","2017-06-15 17:00:00","Succeeded (3D)",-21.593969,-53.739914,318,0.78,348,94.06,2,5,72,"2"
"120","2017-06-15 18:00:00","Succeeded (3D)",-21.594075,-53.739898,309,0.04,335.4,9.9,1.4,6,43,"2"
"121","2017-06-15 19:00:00","Succeeded (3D)",-21.594077,-53.739937,309,0.3,235.5,21.34,1.2,7,46,"2"
"122","2017-06-15 20:00:00","Succeeded (3D)",-21.594094,-53.739886,297,0.24,33,32.14,1.6,4,46,"2"
"123","2017-06-15 21:00:00","Succeeded (3D)",-21.594055,-53.739882,294,0.12,152.6,29.72,1.6,4,46,"2"
"124","2017-06-15 22:00:00","Succeeded (3D)",-21.594077,-53.739872,319,0.26,353.7,19.16,1.6,5,46,"2"
"125","2017-06-15 23:00:00","Succeeded (3D)",-21.594062,-53.73986,313,0.49,182.1,33.22,1.6,5,47,"2"
"126","2017-06-16 00:00:00","Succeeded (3D)",-21.594066,-53.739896,304,0.05,127.3,22.37,1.8,4,47,"2"
"127","2017-06-16 01:00:00","Succeeded (3D)",-21.594044,-53.739892,313,0,41.5,26.08,1.8,5,48,"2"
"128","2017-06-16 02:00:00","Succeeded (3D)",-21.594056,-53.739908,301,0.24,210.2,32.54,1.6,4,46,"2"
"129","2017-06-16 03:00:00","Succeeded (3D)",-21.594085,-53.73985,305,0.51,294.6,46.71,2.6,4,151,"2"
"130","2017-06-16 04:00:00","Succeeded (3D)",-21.594073,-53.739915,297,0.5,138.5,26.98,2.2,4,47,"2"
"131","2017-06-16 05:00:00","Succeeded (3D)",-21.593999,-53.739812,296,0.41,206,40.18,1.6,4,61,"2"
"132","2017-06-16 06:00:00","Succeeded (3D)",-21.594063,-53.739838,300,0.55,52.7,33.53,1.6,4,47,"2"
"133","2017-06-16 07:00:00","Succeeded (3D)",-21.594011,-53.739896,304,0.07,342.4,13.33,1.4,5,46,"2"
"134","2017-06-16 08:00:00","Succeeded (3D)",-21.594069,-53.739895,304,0,196.2,13.77,1.4,5,46,"2"
"135","2017-06-16 09:00:00","Succeeded (3D)",-21.594033,-53.739801,308,0.25,166.6,23.06,1.6,4,47,"2"
"136","2017-06-16 10:00:00","Succeeded (3D)",-21.593947,-53.739856,326,0.31,342.4,24.01,1.8,5,48,"2"
"137","2017-06-16 11:00:00","Succeeded (3D)",-21.594033,-53.739861,309,0.32,183.5,30.79,1.8,6,46,"2"
"138","2017-06-16 12:00:00","Succeeded (3D)",-21.594074,-53.739898,299,0.05,85.1,16.55,1.8,5,46,"2"
"139","2017-06-16 13:00:00","Succeeded (3D)",-21.594072,-53.739873,310,0.01,201.8,19.9,2,5,46,"2"
"140","2017-06-16 14:00:00","Succeeded (3D)",-21.594012,-53.73982,305,0.53,93.5,37.01,1.4,4,49,"2"
"141","2017-06-16 15:00:00","Succeeded (3D)",-21.594044,-53.739888,310,0.36,78,66.18,3.4,4,119,"2"
"142","2017-06-16 16:00:00","Succeeded (3D)",-21.594229,-53.739905,297,1.09,186.3,72.89,4.8,4,46,"2"
"143","2017-06-16 17:00:00","Succeeded (3D)",-21.594068,-53.739858,293,0.06,280.5,46.74,1.8,4,78,"2"
"144","2017-06-16 18:00:00","Succeeded (3D)",-21.594085,-53.739938,298,0.17,220.1,36.11,1.4,4,84,"2"
"145","2017-06-16 19:00:00","Succeeded (3D)",-21.594311,-53.740239,324,0.44,208.8,90.24,2.8,4,167,"2"
"146","2017-06-16 20:00:00","Succeeded (3D)",-21.593926,-53.739783,319,0.11,215.9,99.79,6.2,4,99,"2"
"147","2017-06-16 21:00:00","Resolved QFP",-21.594229,-53.73974,305,NA,NA,NA,1.3,7,180,"2"
"148","2017-06-16 22:00:00","Resolved QFP",-21.594028,-53.739988,315,NA,NA,NA,2.4,5,180,"2"
"149","2017-06-16 23:00:00","Unresolved QFP",-21.59492,-53.738128,1,NA,NA,NA,25.5,4,180,"2"
"150","2017-06-17 00:00:00","Resolved QFP",-21.594128,-53.739736,271,NA,NA,NA,1.6,6,180,"2"
"151","2017-06-17 01:00:00","Succeeded (3D)",-21.594067,-53.739929,307,0.2,200.4,34.85,2,4,46,"2"
"152","2017-06-17 02:00:00","Succeeded (3D)",-21.594039,-53.739881,299,0.38,40.1,45.78,1.6,4,53,"2"
"153","2017-06-17 03:00:00","Succeeded (3D)",-21.594056,-53.739877,303,0.77,21.8,41.36,1.6,4,84,"2"
"154","2017-06-17 04:00:00","Resolved QFP",-21.594173,-53.740791,1327,NA,NA,NA,3.4,5,180,"2"
"155","2017-06-17 05:00:00","Resolved QFP",-21.594141,-53.73988,305,NA,NA,NA,2.9,6,180,"2"
"156","2017-06-17 06:00:00","Resolved QFP",-21.594028,-53.739887,297,NA,NA,NA,1.5,7,180,"2"
"157","2017-06-17 07:00:00","Succeeded (3D)",-21.593998,-53.739884,296,0.19,343.8,55.54,1.4,5,62,"2"
"158","2017-06-17 08:00:00","Resolved QFP",-21.594078,-53.739955,310,NA,NA,NA,1.3,6,180,"2"
"159","2017-06-17 09:00:00","Succeeded (3D)",-21.594003,-53.7398,337,0.4,13.4,52.99,1.6,5,84,"2"
"160","2017-06-17 10:00:00","Resolved QFP",-21.594064,-53.739945,299,NA,NA,NA,1.5,6,180,"2"
"161","2017-06-17 11:00:00","Succeeded (3D)",-21.593966,-53.739837,326,0.36,201.8,66.05,3.8,4,46,"2"
"162","2017-06-17 12:00:00","Succeeded (3D)",-21.594083,-53.739842,291,0.54,49.9,74.82,2.6,4,179,"2"
"163","2017-06-17 13:00:00","Unresolved QFP",-21.590534,-53.748211,80,NA,NA,NA,25.5,4,180,"2"
"164","2017-06-17 15:00:00","Succeeded (3D)",-21.594072,-53.739857,305,0.42,265.1,28.07,2.4,6,47,"3"
"165","2017-06-17 16:00:00","Succeeded (3D)",-21.594031,-53.739927,319,0.36,266.5,43.31,1.4,6,46,"3"
"166","2017-06-17 17:00:00","Succeeded (3D)",-21.594056,-53.739875,308,0.1,87.9,24.85,1.6,6,46,"3"
"167","2017-06-17 18:00:00","Succeeded (3D)",-21.594066,-53.739947,316,1.05,33,44.58,2,4,88,"3"
"168","2017-06-17 19:00:00","Succeeded (3D)",-21.594096,-53.739904,314,0.22,89.3,21.28,1.6,4,46,"3"
"169","2017-06-17 20:00:00","Resolved QFP",-21.59417,-53.739905,311,NA,NA,NA,1,8,180,"3"
"170","2017-06-17 21:00:00","Resolved QFP",-21.594047,-53.740007,305,NA,NA,NA,1.5,5,180,"3"
"171","2017-06-17 22:00:00","Failed",NA,NA,NA,NA,NA,NA,NA,3,180,"3"
"172","2017-06-17 23:00:00","Succeeded (3D)",-21.593996,-53.739892,314,0.94,9.1,32.06,1.2,4,120,"3"
"173","2017-06-18 00:00:00","Succeeded (3D)",-21.594059,-53.739841,308,0.16,279.1,71.23,2.2,4,95,"3"
"174","2017-06-18 01:00:00","Succeeded (3D)",-21.593982,-53.7399,316,0.54,277.7,51.56,1.8,5,90,"3"
"175","2017-06-18 02:00:00","Succeeded (3D)",-21.594055,-53.739812,304,0.73,356.5,49.92,2,4,49,"3"
"176","2017-06-18 03:00:00","Succeeded (3D)",-21.594096,-53.739921,303,0.46,96.3,19.33,1.2,5,47,"3"
"177","2017-06-18 04:00:00","Resolved QFP",-21.594131,-53.739865,311,NA,NA,NA,4.2,5,180,"3"
"178","2017-06-18 05:00:00","Succeeded (3D)",-21.594062,-53.739908,299,0.09,55.5,41.35,1.6,4,139,"3"
"179","2017-06-18 06:00:00","Succeeded (3D)",-21.594063,-53.739742,309,0.58,291.8,97.61,2.2,4,129,"3"
"180","2017-06-18 07:00:00","Succeeded (3D)",-21.593754,-53.739862,300,1.06,4.9,75.46,1.4,5,106,"3"
"181","2017-06-18 08:00:00","Succeeded (3D)",-21.594024,-53.739891,310,0.05,232.7,25.71,1.4,5,47,"3"
"182","2017-06-18 09:00:00","Succeeded (3D)",-21.594058,-53.73987,305,0.07,311.5,14.27,1.2,6,46,"3"
"183","2017-06-18 10:00:00","Resolved QFP",-21.594463,-53.740131,391,NA,NA,NA,4.4,5,180,"3"
"184","2017-06-18 11:00:00","Succeeded (3D)",-21.594082,-53.739892,304,0.91,207.4,46.58,2,4,79,"3"
"185","2017-06-18 12:00:00","Resolved QFP",-21.593953,-53.739885,319,NA,NA,NA,2.7,6,180,"3"
"186","2017-06-18 13:00:00","Resolved QFP",-21.594108,-53.74001,314,NA,NA,NA,2.8,6,180,"3"
"187","2017-06-18 14:00:00","Resolved QFP",-21.594039,-53.739816,331,NA,NA,NA,0.9,9,180,"3"
"188","2017-06-18 15:00:00","Succeeded (3D)",-21.594075,-53.739865,294,0.03,242.6,45.86,1.8,4,109,"3"
"189","2017-06-18 16:00:00","Succeeded (3D)",-21.594062,-53.739863,307,0.02,57,28.92,2.2,5,46,"3"
"190","2017-06-18 17:00:00","Succeeded (3D)",-21.593993,-53.739882,320,0.42,132.9,27.69,1.8,5,46,"3"
"191","2017-06-18 18:00:00","Succeeded (3D)",-21.594112,-53.739871,331,0.63,197.6,51.19,1.6,4,48,"3"
"192","2017-06-18 19:00:00","Resolved QFP",-21.59405,-53.739769,299,NA,NA,NA,1.6,6,180,"3"
"193","2017-06-18 20:00:00","Succeeded (3D)",-21.593986,-53.739843,317,0.34,300.2,98.67,4.4,4,98,"3"
"194","2017-06-18 21:00:00","Resolved QFP",-21.594122,-53.739766,333,NA,NA,NA,1.3,7,180,"3"
"195","2017-06-18 22:00:00","Resolved QFP",-21.59408,-53.740036,264,NA,NA,NA,1.8,5,180,"3"
"196","2017-06-18 23:00:00","Failed",NA,NA,NA,NA,NA,NA,NA,1,180,"3"
"197","2017-06-19 00:00:00","Succeeded (3D)",-21.594045,-53.73989,325,0.42,322.7,50.03,1.6,5,64,"3"
"198","2017-06-19 01:00:00","Succeeded (3D)",-21.5941,-53.739875,299,0.15,192,27.29,1.4,6,48,"3"
"199","2017-06-19 02:00:00","Succeeded (3D)",-21.594057,-53.739881,304,0.08,116,20.03,1.4,5,47,"3"
"200","2017-06-19 03:00:00","Succeeded (3D)",-21.594007,-53.739827,313,1.05,255.2,66.31,4.8,4,55,"3"
"201","2017-06-19 04:00:00","Resolved QFP",-21.594159,-53.739874,317,NA,NA,NA,3.6,5,180,"3"
"202","2017-06-19 05:00:00","Resolved QFP",-21.594254,-53.739958,433,NA,NA,NA,1.3,6,180,"3"
"203","2017-06-19 06:00:00","Succeeded (3D)",-21.594179,-53.739731,260,0.42,307.3,98.08,3.8,4,66,"3"
"204","2017-06-19 07:00:00","Succeeded (3D)",-21.593993,-53.739896,307,0.62,2.1,27.47,1.4,5,46,"3"
"205","2017-06-19 08:00:00","Succeeded (3D)",-21.594039,-53.739858,294,0.22,200.4,35.33,1.6,4,46,"3"
"206","2017-06-19 09:00:00","Succeeded (3D)",-21.594035,-53.739867,311,0.05,200.4,26.51,1.4,5,47,"3"
"207","2017-06-19 10:00:00","Resolved QFP",-21.594158,-53.739899,340,NA,NA,NA,1.5,8,180,"3"
"208","2017-06-19 11:00:00","Succeeded (3D)",-21.594045,-53.739877,313,0.18,125.9,39,2,4,46,"3"
"209","2017-06-19 12:00:00","Succeeded (3D)",-21.59402,-53.739752,284,0.31,33,97.78,4.2,5,96,"3"
"210","2017-06-19 13:00:00","Succeeded (3D)",-21.594013,-53.739835,287,0.17,324.1,68.2,2.2,4,90,"3"
"211","2017-06-19 14:00:00","Succeeded (3D)",-21.594054,-53.739845,315,0.14,241.2,20.25,1.2,6,46,"3"
"212","2017-06-19 15:00:00","Succeeded (3D)",-21.594049,-53.739881,318,0,239.8,12.96,1.4,6,46,"3"
"213","2017-06-19 16:00:00","Succeeded (3D)",-21.593906,-53.739764,285,0.25,217.3,37.23,2,4,46,"3"
"214","2017-06-19 17:00:00","Succeeded (3D)",-21.593984,-53.740013,333,0.29,107.6,63.6,4,5,46,"3"
"215","2015-12-17 23:00:00","Succeeded (3D)",-21.6118970216306,-53.8918901430286,401,0.25,348,12.57,3,4,47,"4"
"216","2015-12-18 00:00:00","Succeeded (3D)",-21.6121518601801,-53.8917697260744,400,0.07,7.7,8.41,1,8,34,"4"
"217","2015-12-18 01:00:00","Succeeded (3D)",-21.6121963057739,-53.8918092219584,393,0.17,3.5,8.75,0.8,9,36,"4"
"218","2015-12-18 02:00:00","Succeeded (3D)",-21.6121516922937,-53.8917793756231,383,0.18,314.3,9.07,1,8,7,"4"
"219","2015-12-18 03:00:00","Succeeded (3D)",-21.6121053999326,-53.8918460247614,382,1.44,218.7,8.78,1.8,6,6,"4"
"220","2015-12-18 04:00:00","Succeeded (3D)",-21.6121252935485,-53.8917402388276,415,0,2.1,55.27,1.4,6,48,"4"
"221","2015-12-18 05:00:00","Succeeded (3D)",-21.6121694033766,-53.8917990337946,392,0,14.8,12.91,1,8,46,"4"
